timestamp_utc,timestamp_pst,ticker,side,contracts,avg_price_cents,cost_cents,cost_usd,result,pnl_cents,pnl_usd,order_id,fill_id
2026-01-28T08:05:00.701884+00:00,2026-01-28 00:05:00,KXBTCD-26JAN2804-T88499.99,no,17,0,17,0.17,lost,-17,-0.17,,
2026-01-28T08:10:06.629049+00:00,2026-01-28 00:10:06,KXBTCD-26JAN2804-T88249.99,no,16,0,16,0.16,lost,-16,-0.16,,
2026-01-28T08:15:16.422325+00:00,2026-01-28 00:15:16,KXBTCD-26JAN2804-T88499.99,no,7,0,14,0.14,lost,-14,-0.14,,
2026-01-28T08:20:20.913505+00:00,2026-01-28 00:20:20,KXBTCD-26JAN2804-T88499.99,no,7,0,14,0.14,lost,-14,-0.14,,
2026-01-28T08:25:22.948677+00:00,2026-01-28 00:25:22,KXBTCD-26JAN2804-T88499.99,no,6,0,12,0.12,lost,-12,-0.12,,
2026-01-28T09:00:40.895234+00:00,2026-01-28 01:00:40,KXBTCD-26JAN2805-T87999.99,no,6,0,12,0.12,lost,-12,-0.12,,
2026-01-28T09:05:43.305022+00:00,2026-01-28 01:05:43,KXBTCD-26JAN2805-T87749.99,no,12,0,12,0.12,lost,-12,-0.12,,
2026-01-28T09:10:45.815968+00:00,2026-01-28 01:10:45,KXBTCD-26JAN2805-T88249.99,no,5,0,10,0.10,lost,-10,-0.10,,
2026-01-28T09:15:48.166011+00:00,2026-01-28 01:15:48,KXBTCD-26JAN2805-T88249.99,no,5,0,10,0.10,lost,-10,-0.10,,
2026-01-28T09:20:50.313556+00:00,2026-01-28 01:20:50,KXBTCD-26JAN2805-T87999.99,no,10,0,10,0.10,lost,-10,-0.10,,
2026-01-28T09:25:52.269624+00:00,2026-01-28 01:25:52,KXBTCD-26JAN2805-T87999.99,no,10,0,10,0.10,lost,-10,-0.10,,
2026-01-28T10:01:04.369419+00:00,2026-01-28 02:01:04,KXBTCD-26JAN2806-T88499.99,no,9,0,9,0.09,lost,-9,-0.09,,
2026-01-28T10:06:06.217450+00:00,2026-01-28 02:06:06,KXBTCD-26JAN2806-T88249.99,no,9,0,9,0.09,lost,-9,-0.09,,
2026-01-28T10:11:08.148701+00:00,2026-01-28 02:11:08,KXBTCD-26JAN2806-T88749.99,no,2,0,6,0.06,lost,-6,-0.06,,
2026-01-28T10:16:10.350437+00:00,2026-01-28 02:16:10,KXBTCD-26JAN2806-T88249.99,no,8,0,8,0.08,lost,-8,-0.08,,
2026-01-28T10:21:12.198938+00:00,2026-01-28 02:21:12,KXBTCD-26JAN2806-T87749.99,no,7,0,7,0.07,lost,-7,-0.07,,
2026-01-28T10:26:14.321571+00:00,2026-01-28 02:26:14,KXBTCD-26JAN2806-T87749.99,no,7,0,7,0.07,lost,-7,-0.07,,
2026-01-28T11:01:27.024440+00:00,2026-01-28 03:01:27,KXBTCD-26JAN2807-T88499.99,no,6,0,6,0.06,lost,-6,-0.06,,
2026-01-28T11:06:28.898360+00:00,2026-01-28 03:06:28,KXBTCD-26JAN2807-T88249.99,no,6,0,6,0.06,lost,-6,-0.06,,
2026-01-28T11:11:31.129294+00:00,2026-01-28 03:11:31,KXBTCD-26JAN2807-T88499.99,no,3,0,6,0.06,lost,-6,-0.06,,
2026-01-28T11:16:33.056173+00:00,2026-01-28 03:16:33,KXBTCD-26JAN2807-T88749.99,no,2,0,4,0.04,lost,-4,-0.04,,
2026-01-28T11:21:35.113384+00:00,2026-01-28 03:21:35,KXBTCD-26JAN2807-T88499.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T11:26:37.271298+00:00,2026-01-28 03:26:37,KXBTCD-26JAN2807-T88499.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T12:01:49.788978+00:00,2026-01-28 04:01:49,KXBTCD-26JAN2808-T88249.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T12:06:51.849132+00:00,2026-01-28 04:06:51,KXBTCD-26JAN2808-T87999.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T12:11:53.616806+00:00,2026-01-28 04:11:53,KXBTCD-26JAN2808-T88999.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T12:16:55.712150+00:00,2026-01-28 04:16:55,KXBTCD-26JAN2808-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T12:21:57.606769+00:00,2026-01-28 04:21:57,KXBTCD-26JAN2808-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T12:26:59.809856+00:00,2026-01-28 04:26:59,KXBTCD-26JAN2808-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T13:02:13.051556+00:00,2026-01-28 05:02:13,KXBTCD-26JAN2809-T88999.99,no,2,0,4,0.04,lost,-4,-0.04,,
2026-01-28T13:07:15.463937+00:00,2026-01-28 05:07:15,KXBTCD-26JAN2809-T88749.99,no,2,0,4,0.04,lost,-4,-0.04,,
2026-01-28T13:12:17.572645+00:00,2026-01-28 05:12:17,KXBTCD-26JAN2809-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T13:17:20.182545+00:00,2026-01-28 05:17:20,KXBTCD-26JAN2809-T89249.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T13:22:22.285262+00:00,2026-01-28 05:22:22,KXBTCD-26JAN2809-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T13:27:24.683315+00:00,2026-01-28 05:27:24,KXBTCD-26JAN2809-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T14:02:37.346739+00:00,2026-01-28 06:02:37,KXBTCD-26JAN2810-T88249.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T14:07:39.193521+00:00,2026-01-28 06:07:39,KXBTCD-26JAN2810-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T14:12:41.635058+00:00,2026-01-28 06:12:41,KXBTCD-26JAN2810-T88999.99,no,1,0,3,0.03,lost,-3,-0.03,,
2026-01-28T14:17:43.719431+00:00,2026-01-28 06:17:43,KXBTCD-26JAN2810-T87999.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T14:22:45.811072+00:00,2026-01-28 06:22:45,KXBTCD-26JAN2810-T88249.99,no,5,0,5,0.05,lost,-5,-0.05,,
2026-01-28T14:27:47.724119+00:00,2026-01-28 06:27:47,KXBTCD-26JAN2810-T87999.99,no,5,0,5,0.05,lost,-5,-0.05,,
